N,News,Knowledge
1,Freq,High
2,Freq,High
3,Freq,High
4,None,Low
5,Freq,High
6,None,High
7,None,Low
8,Freq,High
9,None,Low
10,Freq,High
11,None,Low
12,Freq,High
13,Freq,High
14,None,Low
15,None,Low
16,Freq,High
17,Freq,High
18,Freq,High
19,Freq,High
20,None,Low
21,Freq,High
22,None,High
23,None,Low
24,Freq,High
25,None,Low
26,Freq,High
27,None,Low
28,Freq,High
29,Freq,High
30,None,Low
31,Freq,High
32,Freq,High
33,None,Low
34,None,Low
35,Freq,High
36,Freq,High
37,Freq,High
38,Freq,High
39,None,Low
40,Freq,High
41,None,High
42,None,Low
43,Freq,High
44,None,Low
45,Freq,High
46,None,Low
